ShoppingID,FirstName,LastName,Email,RegistrationDate,LastShoppingDate,LocationRegistration,CurrentPoints,HighestPoints,PreferredReward,LastPurchaseMode
48,Dolli,Bahr,Dolli.Bahr@samplemail.com,2012-07-21,2021-05-04,Makati City,577,1261,Leisure Discount,Online
49,Ellette,Scammon,Ellette.Scammon@samplemail.com,2018-03-04,2021-07-27,Manila City,492,1886,Freebie,Online
50,Shell,Laurianne,Shell.Laurianne@samplemail.com,2020-03-01,2021-04-04,Taguig City,84,1742,Freebie,Mall
51,Judy,Socha,Judy.Socha@samplemail.com,2011-05-13,2021-09-02,Manila City,837,1168,Freebie,Mall
52,Melodie,Dosia,Melodie.Dosia@samplemail.com,2019-01-01,2021-05-23,Pasay City,101,1333,Gift Check,Online
53,Raquela,Kare,Raquela.Kare@samplemail.com,2017-01-15,2021-09-04,Pasay City,229,1657,Gift Check,Online
54,Dulce,Holbrook,Dulce.Holbrook@samplemail.com,2013-07-08,2021-08-02,Taguig City,442,1237,Food Discount,Online
55,Inga,Auberbach,Inga.Auberbach@samplemail.com,2018-08-29,2021-10-10,Alabang City,821,1120,Leisure Discount,Mall
56,Taffy,Publia,Taffy.Publia@samplemail.com,2020-08-05,2021-10-01,Pasay City,874,1230,Food Discount,Online
57,Nickie,Gladstone,Nickie.Gladstone@samplemail.com,2016-04-04,2021-06-19,Pasay City,210,1106,Freebie,Mall
58,Mahalia,Stelle,Mahalia.Stelle@samplemail.com,2016-05-26,2021-11-03,Makati City,117,1115,Leisure Discount,Online
59,Catrina,Amand,Catrina.Amand@samplemail.com,2016-05-09,2021-06-10,Alabang City,971,1454,Freebie,Mall
60,Aili,Stover,Aili.Stover@samplemail.com,2020-05-29,2021-06-22,Makati City,671,1735,Freebie,Mall
61,Rozele,Gale,Rozele.Gale@samplemail.com,2015-01-20,2021-02-06,Taguig City,12,1769,Gift Check,Online
62,Tybie,Bearnard,Tybie.Bearnard@samplemail.com,2012-07-07,2021-05-22,Makati City,72,1178,Food Discount,Mall
63,Clo,Pond,Clo.Pond@samplemail.com,2011-05-06,2021-11-06,Taguig City,70,1287,Product Discount,Mall
64,Xylina,Cookie,Xylina.Cookie@samplemail.com,2011-10-21,2021-03-29,Alabang City,768,1764,Gift Check,Online
65,Jolyn,Ralfston,Jolyn.Ralfston@samplemail.com,2013-12-23,2021-11-09,Alabang City,350,1338,Product Discount,Online
66,Candy,Percy,Candy.Percy@samplemail.com,2015-05-24,2021-05-25,Taguig City,302,1049,Gift Check,Online
67,Cacilie,Westphal,Cacilie.Westphal@samplemail.com,2021-06-16,2021-08-06,Manila City,378,1601,Product Discount,Online
68,Maisey,Diogenes,Maisey.Diogenes@samplemail.com,2021-11-14,2021-06-16,Alabang City,794,1051,Gift Check,Mall
69,Kathi,Allina,Kathi.Allina@samplemail.com,2021-11-07,2021-10-02,Taguig City,355,1910,Freebie,Mall
70,Amara,Chem,Amara.Chem@samplemail.com,2011-04-06,2021-10-29,Taguig City,695,1564,Leisure Discount,Mall
71,Silvana,Maples,Silvana.Maples@samplemail.com,2021-10-12,2021-09-08,Pasay City,315,1213,Freebie,Mall
72,Trudie,Honoria,Trudie.Honoria@samplemail.com,2012-03-04,2021-01-10,Manila City,619,1184,Gift Check,Mall
73,Caressa,Harl,Caressa.Harl@samplemail.com,2019-12-03,2021-07-05,Manila City,863,1016,Gift Check,Mall
74,Helena,Jillane,Helena.Jillane@samplemail.com,2014-03-04,2021-08-21,Makati City,963,1778,Gift Check,Mall
75,Michaelina,Parsaye,Michaelina.Parsaye@samplemail.com,2017-05-14,2021-01-11,Makati City,241,1110,Food Discount,Online
76,Ekaterina,Read,Ekaterina.Read@samplemail.com,2017-07-17,2021-04-09,Manila City,235,1604,Product Discount,Mall
77,Latisha,Linskey,Latisha.Linskey@samplemail.com,2013-11-16,2021-08-04,Makati City,296,1712,Product Discount,Mall
78,Annabela,Bartlett,Annabela.Bartlett@samplemail.com,2015-08-20,2021-08-06,Manila City,471,1479,Food Discount,Mall
79,Dennie,Briney,Dennie.Briney@samplemail.com,2015-03-21,2021-10-13,Pasay City,6,1077,Food Discount,Online
80,Amelia,Lory,Amelia.Lory@samplemail.com,2019-04-14,2021-07-09,Makati City,283,1033,Leisure Discount,Mall
81,Cristabel,Baudin,Cristabel.Baudin@samplemail.com,2016-05-19,2021-05-29,Taguig City,612,1483,Leisure Discount,Mall
82,Elyssa,Uird,Elyssa.Uird@samplemail.com,2012-08-12,2021-09-13,Pasay City,161,1800,Food Discount,Mall
83,Charissa,Berriman,Charissa.Berriman@samplemail.com,2017-11-02,2021-01-23,Manila City,75,1171,Leisure Discount,Online
84,Charissa,Soneson,Charissa.Soneson@samplemail.com,2019-11-19,2021-06-29,Manila City,340,1496,Gift Check,Mall
85,Joy,Fiann,Joy.Fiann@samplemail.com,2016-04-12,2021-08-05,Taguig City,650,1131,Freebie,Mall
86,Ericka,Ahab,Ericka.Ahab@samplemail.com,2017-07-08,2021-04-01,Manila City,316,1071,Leisure Discount,Mall
87,Carree,Clarissa,Carree.Clarissa@samplemail.com,2012-12-26,2021-02-06,Taguig City,234,1853,Product Discount,Online
88,Melisent,An,Melisent.An@samplemail.com,2017-11-21,2021-02-23,Alabang City,83,1693,Food Discount,Online
89,Dione,Salchunas,Dione.Salchunas@samplemail.com,2019-09-09,2021-08-02,Alabang City,905,1000,Freebie,Mall
90,Lauryn,Brian,Lauryn.Brian@samplemail.com,2017-04-16,2021-08-31,Taguig City,44,1892,Product Discount,Mall
91,Daryl,Camden,Daryl.Camden@samplemail.com,2012-02-29,2021-05-06,Alabang City,186,1187,Freebie,Mall
92,Correy,Sophronia,Correy.Sophronia@samplemail.com,2014-11-18,2021-03-19,Taguig City,758,1143,Gift Check,Mall
93,Ruthe,Glenden,Ruthe.Glenden@samplemail.com,2020-08-31,2021-01-29,Alabang City,262,1915,Food Discount,Mall
94,Lauryn,Vanni,Lauryn.Vanni@samplemail.com,2011-12-19,2021-02-19,Alabang City,441,1092,Leisure Discount,Mall
95,Adele,Aaberg,Adele.Aaberg@samplemail.com,2017-01-30,2021-10-30,Pasay City,763,1825,Gift Check,Mall
96,Violet,Ilka,Violet.Ilka@samplemail.com,2011-09-28,2021-10-20,Alabang City,647,1778,Gift Check,Mall
97,Demetris,Tice,Demetris.Tice@samplemail.com,2011-01-01,2021-03-04,Makati City,342,1957,Product Discount,Mall
98,Debee,Blisse,Debee.Blisse@samplemail.com,2014-03-13,2021-10-22,Pasay City,182,1150,Freebie,Mall
99,Gertrud,Friede,Gertrud.Friede@samplemail.com,2016-07-28,2021-07-06,Alabang City,294,1421,Freebie,Mall
100,Kassey,Trinetta,Kassey.Trinetta@samplemail.com,2020-05-05,2021-02-12,Taguig City,982,1558,Product Discount,Mall
